toxic_comment,neutral_comment1
давно пора такой закон ввести. эта тварь отсидит и снова выйдет и снова будет с.....ка насиловать и убивать.,"Давно пора такой закон ввести, этот человек отсидит и снова возмется за старое"
шакалы. волк и то кости оставляет.,Волк и то кости оставляет
ебанутые савсем уже стали сосваим вирусом уже не знают че придумать. пердеть тоже корновирус.,Со своим вирусом уже не знают че придумать.Пукать тоже коронавирус.
ну и тварь эта гадина её покарает господь хороших родитетей тебе малышка🥰,Ее покарает господь. хороших родителей тебе малышка
да вообще похуй сколько этот долбоеб получает,да вообще все равно  сколько он получает
"все людей наебала ,а потом же , что бы деньги не отдавать , ты начинаешь хуйню писать !!","Всех людей обманула а потом же, чтобы деньги не отдавать, ты начинаешь чушь писать!!"
"вот из-за таких пидорасок,, простите девочки и,, семьи распадаются","Вот из-за таких, простите девочки и, семьи распадаются"
а сколько блядь они нам должны ни слова только мы им должны твари ненастные,"А сколько они нам должны ни слова только ,мы им должны"
и таких уродов не мало,таких много
б расстрел митинга в новочеркасске gать,расстрел митинга в новочеркасске
"он тащит электропоезд, а там контактной сети нет.дибил","Он тянет электропоезд, а там контактной сети нет."
да вот совсем насрать какая у него национельность,все равно какая у него национальность
без крыльев то какой мудак ездит!,без крыльев то кто ездит!
говорила ли эта мразь такие слова?,Говорила ли она такие слова
"у тебя что, ИНТОКСИКАЦИЯ УКРАИНСКИМ МИРОМ?",У тебя перенасыщение украинским миром
"блядь !!!полный беспредел ,прям в начале сезона,бомжы вы че совсем что ли прихуели!?!?!?!?","Полный беспредел, прямо в начале сезона, вы что совсем что-ли с ума сошли"
"Да хз, что ты до меня то докопался ?",да что ты до меня докопался?
"на хуя такое выкладывать, зто и дети будут смотреть долбоебы","Зачем такое выкладывать, это и дети будут смотреть"
правительство дешёвка коньченные 😡 жалко им детей накормить. зато сами жируют твари ебаные.,"Правительству жалко детей накормить, а сами зато на широкую ногу"
админы вы долбаебы как вы заебали плюсони плюсони на всякую хуйню,"Админы, вы уже надоели плюсони плюсони на всякую ерунду."
люди не в материться надо дох я русском языке других пездатых слов,"Люди, не надо материтьсяу нас так много красивых слов"
"какую хуйню вы порете с телеэкранов, вауу, это пиздец, чтобы в это верить нужно быть полным уебаном","Какую глупость вы говорите с телеэкранов, вауу, это надо же верить в такое"
путин пидар ебанный уходи в отставку.,Путин уходи в отставку
"так это у нас, будет, может быть, когда нибудь, вдруг. а ты вчера сосал, сегодня сосешь и завтра сосать будешь.","Так это у нас ,будет ,может быть ,когда-нибудь"
Студент с бабками - хуевый студент,Студент с деньгами-плохой студент
да ни у кого просто пиздобол.,"Да ни у кого,просто врёт"
порядок бы блять навёл !,Порядок бы навел
руки им оторвать за такой асфальт.,Наказать нужно за такой асфальт
у вас в деревне говнищи все такие политизированные? (h),У вас в деревне все такие политизированные?
"сколько вокруг гандонов пидорасов, узнаём только после","сколько вокруг нехороших людей, узнаем только после"
Спалил свой вк постя плохо закрашенную переписку.,Выдал свой вк постя плохо замаскированную переписку
тото ты и ебло своё прячеш для конфискацыи готовишся,ты и лицо свое прячешл для конфискации готовишься
а она блядь святая чаще пиздец,"А она святая, ну да."
да нахуй он кому нужен,Да зачем он кому-то нужен
дура без причины и понимать нечего,Без причины и понимать нечего
"мне и моим друзьям крым нужен. ну а пидорасов, согласен, не спросили.","мне и моим друзьям крым нужен, не у всех согласия спросили"
"Даже хохлы в гейропу не хотят, бабосы не те?","Даже украинцы в Европу не хотят ,деньги не те?"
"ну как бы..геи и пидорасы- как ни крути, выходят за рамки нормального","ну как бы..люди нетрадиционной ориентации- как ни крути, выходят за рамки нормального"
"может вы уже в личке решите,кто у кого отсосет и у какого осла,и кто пидар ,а кто нет.надоели😁😁😁","Может вы уже в личке решите, кто плохой человек, а кто нет"
я непоня а почему этому пидору по ибулу не дали,Почему этому человеку ничего не сделали
"они ждут только деньги, а за что им заплатят- им нет интереса. лишь бы бабло получить. падлы, предатели на овские.","Они ждут только денег, а за что им заплатят-им нет интереса, лишь бы деньги получить, предатели"
"ебанутые , посмотрите на украину.",посмотрите на украину
демократию Что ты об этом знаешь тупорылая пидораха?,Демократию.Что ты об этом знаешь?
черножопые охерели они и в германии себя чувствуют королями полный трындец а менты спасали свои жизни .,"Афроамериканци в Германии себя чувствуют королями, а полиция спасала свои жизни"
хуйня.... завдекаловка... потом увидите что на самом деле будет... как всегда обьебаловка народа,Потом увидите что будет. Как всегда народ обманут.
"И у меня гамно залежалось, тоже отправлю","и у меня кое-что задержалось, тоже отправлю"
"да его не то что уважать, его русские будут презирать, как последнюю гадину.","да его не то что уважать, его русские будут презирать"
какой пидор эту информацию выложил и зачем,Кто эту информацию выложил и зачем?
"пидорас ты сережа, раз такую хуйню прдлогаешь!!!","злой ты сережа, раз такое предлагаешь"
в глазах чужого государства они конечно красавцы!пидорасы кто россиянам поможет?,В глазах чужого государства они лучшие! Но кто поможет россиянам?
динамо на 3 забить а ты пидор все хорошо.,"Динамо на 3 забить , а ты все хорошо"
хорошо что не затаилась тварь,Хорошо что не затаилась создание
таких уродов нужно наказывать .,Такиз нужно наказывать
"Что, сцуко, характерно - сзади установлен реактор, появившийся на машине только во второй серии.","Что характерно- с зади установлен реактор, появившийся на машине только во второй серии"
"писатель хренов, ты сначала ефремова посади","Писатель, ты сначала ефремова посади"
"она самая прикрасная,очаровательное девочка. ни то что ходить по баром х...у сасать пивой запивать.ты умница девочка.","она самая прикрасная,очаровательное девочка. ни то что ходить по баром, ты умница девочка"
молодец женщина побольше бы таких умных и образованных а не тупое стадо носящий маски,"Молодец женщина побольше бы таких умных и образованных,а не таких ненормальных"
ни хрена себе! я и не знал что этой жабе при жизни памятник поставили... неужели - насосала?,я и не знал что этой женщине при жизни памятник поставили...
нет ничего хуже чем увидетb мразь в человеке готорого ты считал лучшим,Нет ничего хуже чем увидеть плохое в человеке которого ты считал лучшим
Вы что дебил? Кто же будет исследовать собственные косяки? В лучшем случае предлжат усовершенствованную вакцину позже.,Вы чего не понимаете? Кто будет исследовать собственные косяки? В лучшем случае сделают вакцину лучше.
ты мразь почему стыдишься русского языка ??,почему вы стыдиться русского языка?
"мусора демократизаторами отхуярят так, что забудешь, как жаловаться.😃","Полицейские демократизаторами сделают так,что забудешь,как жаловаться"
"базара нет... если пидоры у власти, значит жди в стране напасти!!!","Если плохие люди у власти, значит жди в стране напасти"
"респект батьке. давить орущих, а тех к с коктейлями молотова сажать на долго.","Молодец,батька. Тех кто с коктелями молотов сажать надолго"
"вам, пидорасам госдеповским, по штату не положено.","вам,по штату не положено"
Малюй на СВО М холсте а не на стенах домов. Лишь бы политоту приплести.,Рисуй на своём холсте а не на стенах домов.лишь бы политику приплести
так на данный момент выигрывает и ебёт эту четвёрку пиндосовскую в хвост и гриву!!!,Так на данный момент выигрывает у этой четвёрки американской с большим запасом!!!
Ну есть её фото? Мне голос её всегда напоминает ту ведущую с россии1 на которую дрочат крым-политачеры.,Ну есть её фото? Мне её голос напоминает ТЦ ведущую с России 1.
этих блядей российское телевидение пиарит. когда уже «звездопад» начнётся? девицы легкого поведения звёздами становятся на раз два!,Этих девушек российское телевидение пиарит. Когда уже «звездопад» начнется? Они звёздами становятся на раз два!
"долбоебам уазик достался , машина классная и простая в обслуге !","Им УАЗик достался,машина классная и простая в обслуге!"
в девяностые этот перекормленный молодняк жрал бы голубей..видно сказок пиндосни наслушались про счастливое прошлое..,"В девяностые этот перекормленый молодняк ел бы голубей, видно сказок наслушались про счастливое прошлое"
ну да жена на работе ебашит а он из чужой пизды не вылазит охуенно живём,Хорошо живём жена целый день на работе а муж на стороне
"Ну что, сломал ваш косоглазый карточку походу. Теперь будете на новую собирать.","Ну что, сломал он карточку походу.теперь будете на новую собирать"
вся россия хочет этого упыря в отставку,Вся Россия хочет этого в отставку
пиздюлей этому подростку надо дать таких чтобы запомнил на всю жизнь,"этому подростку надо так объяснить, чтобы запомнил на всю жизнь"
"кому она абосралась твоя вакцина, засунь себе её в жопу!","Кому она нужна, твоя вакцина?"
сам долбоеб и окружает себя такими же долбоебами,"сам не очень умный,и такими же себя окружает"
"дрянь, ещё оставила его лежать, сука","жестокая, ещё оставила его лежать"
"ты у меня сможешь только отсосать гомик ебучий, иди просто на хуй.",Отстань от меня.
"что за очередная хрень😂пускай в африку еще напишут послание,дебилы помешаные,бля,какк будто больше делать не хрен в этлй жизни😁","что за очередная ерунда😂пускай в африку еще напишут послание,как будто больше делать не чего в этой жизни😁"
"ты,педрило,очень скоро пойдешь на зону и тебя будут иметь самые немытые зеки!","Ты скоро пойдёшь в тюрьму, и тебе там будет плохо."
абу ебаный угомони своих кудрявых друзей или бунт поднимем,Ты угономи своих друзей или бунт поднимем
это полководцы у нас такие суки роту загубили,"Это полководцы у нас такие , роту загубили"
нахрена этого придурка клоуна сюда впихивают?,Зачем его сюда впихивают?
тебя не научили родину любить малоетняя дурочка,Тебя не научили родину любить?
"сериал просто пиздец, других слов нет. глянь. лично мне прочно въелся в душу.","Сериал хороший, других слов нет, глянь, лично мне прочно в душу въелся."
ты хоть слова меняй хуйло одноклеточное. одну и ту же хуйню кукарекаешь.,ты хоть слова меняй. одно и то же говоришь.
"тоже так думаю. честн- ёбань. не понимаю , кто так пишет. честно- пидарас",Тоже так думаю. Не понимаю кто так пишет
"ожиревшее, охуевший ,тупое мурло. догадаетесь, чьи помыслы они вещают. правильно , пыни батюшки.","Догадаетесь, чьи мысли они вещают. Правильно. Пыни батюшки"
заебали этой хуйнёй. неужели больше нечем заняться?,Неужели больше нечем заняться?
это люди которых дрочили в детстве чморили а теперь они вот так отрываются пида.... сы,"Это люди, которых обижали в детстве и теперь они отрываются"
"пиндосы-пидарасы ау!!! как там в жопе не печёт!!!??? а нука прекратите разгонять мирных протестующих!!!! где сука, толерантность и демократия!!!????",а ну-ка прекратите разгонять мирных протестующих!!! где толерантность и демократия!!!????
расскажи нам про усраину пидор ?,Расскажи нам про Украину
"кто не курит и не пьет,сука нудный бля пидзец..","кто не курит и не пьет, очень скучный"
"чего это ты там такого делаешь, что у котейки во взгляде такие флешбэки?","Что это ты там делаешь, что у кота такой взгляд?"
"сучий артист, пидораззззз специально так делает.","Артист, специально так делает."
да кто так думает полный придурок миллион лайков бы поставила,Так думают только глупые люди миллион лайков бы поставила
дебил нельзя белова лебедя стрелять тебе башку прострелить,Нельзя стрелять в белого лебедя
Чому при 400 онлайне у хрюкана чатик такой дохловатый? Не накрутил ли он онлаен?,Почему при 400 онлайне у него чатик такой неактивный? Не накрутил ли он онлайн?
тварюга и вор...............всю россию продаст.,Всю Россию продаст.
этот побогаче просто будет. ну и ебальник у него приятнее. а так шлюхе все равно кому продаваться,"Этот побогаче просто будет, ну и на лицо симпатичнее, а так ей все-равно с кем общаться"
"Я дико извиняюсь, а как этот пень в плане секса, м?","Я дико извиняюсь, а как этот в плане секса,м?"
"Ролики - кал с убогой актерской игрой, стримы - заебись.","Ролики-с плохой актёрской игрой, стримы- отличные"
там не отменил батька растрел.вот там эту мразь и расстреляют.,Там не отменил батька расстрел. Вот там его и расстреляют
кончить бы на такую грудь,Красивая грудь
"блять, развели срачь из нихуя.",Развели ссору из ничего.
выход лишь один - гнома на кол!!!,Выход лишь один - наказать его!!!
автор дебил подписью фото испортил,Автор подписью фото испортил
пидоров(fr) это тебя касается ! с м (fr),Это тебя касается
"среди всех этих уродов, проехал только один человек.","среди всех них, проехал только один человек."
"Ты че, 2080 не могла подарить? Что за нищебродство... Я бы психанул.","Ты че, 2080 не могла подарить? Я бы обиделся."
пидрила путинская тварь 14 копеек им на содержание,14 копеек им на содержание
"долбаебы, купились на западные деньги",Купились на западные деньги.
наши русские ебаный по голове разве не ясно,Наши русские разве не ясно
"молись не молись,всё - равно получишь хуй. ну, разве что блядям на радость.","Молись не молись, ничего не добьёшься"
падла блять животное даже не бросает свое дитя а она сука подзаборная прости господи за свои слова,"Даже животное не бросает свое дитя. А она, прости Господи..."
ахуеть вы далбаебы такие видео закидываете,Вы зачем такие видео закидываете
"урод😡 ,как так можно 🥺",Как так можно?
ни че ни че мы подождём. он за курск ещё ответит. за все ответит. хуйло.,Ни че ни че мы подождем. Он за Курск ещё ответит. За всё ответит.
"мне интересно, а кто их эти штаммы обновил. какая тварь и в какой лаборатории постаралась.","Мне интересно, а кто их эти штаммы обновил. Ктои в какой лаборатории постарался?"
то что ты сам написал про хохлов,"То, что ты сам написал про украинцев"
девчонки вам самим не стыдно ходить полуголыми тогда не жалуйтесь что вас трахают так вам и надо,"Девчонки вам самим не стыдно ходить полуголыми, тогда не жалуйтесь что вас обижают."
"дебил - это ты, если не понял что это договорняк и никаких неожидонастей.","Ты не понял, это договор и никаких неожиданностей."
опять нажрался на работе.?выгонят тебя холуйка ...а я предупреждал : не пей талаша козликом станешь..,"Опять употреблял алкоголь на работе? Тебя уволят. А я предупреждал, что не стоит пить"
донбасу пидарасу нету славы и не будет,нет славы донбасу и не будет
"по блату поступили , по блату закончили по блату устроились и управляют тупари ...","По блату поступили, по блату закончили, по блату устроились и управляют"
"вот,вот! почему полицейские не задержали пидоренка? в россии запрещена реклама пидорства! почему не задержали?",Почему полицейские не задержали представителя ЛГБТ-сообщества? В России запрещена реклама гомосексуализма! Почему не задержали?
"былбы москвичь,я посмеялся с тебя и все,ну а так только баран.","былбы москвичь,я посмеялся с тебя и все"
"как был хуйло, так и остался.","Был плохим человеком, таким и остался"
"пообщаюсь с хуесоской, девушкой в личку на пошлые темы, в личку",Пообщаюсь с девушкой в личке на пошлые темы
"не евреи виноваты, а долбоёбы во власти","Не евреи виноваты , а люди во власти."
твари мрази зачем было убивать и так осталось мало зверя всё вырубили им жить негде,Зачем было убивать. И так осталось мало Зверя. Всё вырубили им жить негде
"да что это за дурочка в женах у этого мужика, который так считает?","кто это в женах у этого мужика, который так считает?"
старая пизда здесь не урок русского йазыка тпем ворт,Здесь не урок русского языка
"дураки. никакой свободы в ссср не было. вообще никакой. всё пиздешь, грубо говоря.",Никакой свободы в СССР не было. Вообще никакой.
у него на уме только взорвать убить забрать отключить уничтожить. вообщем долбень,"У него на уме только взорвать, убить, забрать, отключить, уничтожить"
зачем издеваться над бульдогом?! хозяину надо на ебал.ник натянуть!,зачем издеваться над бульдогом?! хозяина надо наказать!
А какой уровень у тех кто тренды про хохлов создаёт?,А какой уровень у тех кто тренды про украинцев создает?
мразоты их бы скинуть. 😡😡😡😡😡,их бы скинуть
"а что штраф то, предложили бы сразу растрел. твари сначало натворят дел, а потом народу штрафы придумывают за их правду.","А что штраф то? Сначаланатворят дел, а потом народу штрафы придумывают за их правду"
ты бы уже падло язык за зубами держал,Придержи язык за зубами
мразь .такие гниды бьют из-за угла .сколько их стало сейчас ???,Такие бьют из-за угла. Сколько их стало сейчас?
вот скотина страшно стало за свою никчемную жизнь а тому парню интересно жить не хотелось ?,"Ему страшно стало за свою жизнь, а тому парню интересно, жить не хотелось?"
"да и хер с ним! пусть пиздует, дерьмо держать не стоит. автор полюби себя, ты детям нужна.главное духом не падать!","Пусть уходит, держать не стоит.автор полюби себя, ты детям нужна. главное духом не падать!"
чикатило невинный агнец по сравнению с николашкой кровавым! гореть в аду этой твари! а товарищ сталин- спаситтель россии!,чикатило невинный агнец по сравнению с николашкой кровавым! а товарищ сталин- спаситель россии!
"какие же вы мрази, хватит распространять всякую гадость. сколько вам платят? самим за себя не противно?",Хватит распространять всякую ерунду. Сколько вам платят? Самим за себя не стыдно?
"да это твоя земля благодаря нам ,а не арабских когломиратов где ты бы шуршал как сраный веник","Да это твоя земля благодаря нам, а а не арабским гражданам где ты бы работал до зари"
"блядь на себя посмотрите, хули вы все пеняете ...","на себя посмотрите, зачем вы все пеняете ..."
вот и пизда им придёт.,Вот и конец им придёт
"лол, классическое народ не тот . Корону с башки сними, придурок",Классическое народ не тот . Корону с головы сними.
эти ублюдочные твари ничего не могут. ишаки верхушек нахватали а сами катры видели на картинке. пидорасы,ничего не могут. Люди верхушек нахватали а сами катры видели на картинке.
паскуды свои же народ забиваете адумаитесь,"Свой же народ забиваете, одумайтесь"
пидарасы судьи не дают нам побеждать..,Судьи не дают нам побеждать
"вы больные ублюдки, какой в жопу майдан в хабаровске? какой сепаратизм? что вы несете ватноголовые?)","Вы не здоровые, какой еще майдан в хабаровске? какой сепаратизм? что вы такое несете?"
Концентрация гомофобов и шовинистов в стране делает такое развитие ситуации маловероятным,"Концентрация этих людей в стране, делает развитие этой ситуации маловероятным"
и такие идиоты правят нашей страной,и они правят нашей страной
сильнее надо было их жахнуть по клюву))),Сильнее надо было их атаковать
твари не люди отпусти она будет жива а если не нужна не заводи люблю собак есть в доме собака,"Отпусти, она будет жива. А если не нужна - не заводи. Люблю собак, есть в доме собака."
если хуйня. индексы на конвертах. и весь мир рисует эти цыфры,Если индексы на конвертах. И весь мир рисует эти цифры
ебанутые.... пиздец.. сколько не адекватных людей на планете... (md),сколько не адекватных людей на планете...
по телику пиарят одних пидоров прививают нам европейскую культуру так что радуйтесь вы скоро приравняетесь к европе,"По телевизору показывают людей с другими ценностями, демонстрируют европейскую культуру, скоро приравняют к Европе"
уебки с верху вабще ахуели в край,Люди сверху вообще обнаглели в край
"нашли хоть того пидораса,что ее ударил?","нашли хоть того, кто ее ударил?"
а ты где в жопе сидишь,а ты где сидишь
"Не пизди, а как же ежемесячный сбор с пиздаболов?","А как же ежемесячный сбор с тех, кто врёт?"
жлобизм чистой воды! ...и конечно еврей охуительно умный!!!,скупость чистой воды! ... и конечно еврей очень умный!!!
"хуй его знает с кем идти,одни пидарасты","Незнаю с кем идти, не с кем"
точна я не верил но кагда машина пакупал акажетса 5раз пидарас!!!!!!!,Точно я не верил когда машину покупал окажется 5 раз
ты мужик охуел что пишешь,Зачем ты такое пишешь
эти бляди совсем охуели твари конченые,Они совсем обнаглели
"пидор толсторылый зажравшийся. грубо наверное, но для него в самый раз.","Полный человек. грубо наверное, но для него в самый раз."
"гандон,и до сих пор такой пиздец идет,для них все для народа хуй слоновый сушенный !","До сих пор так, для них всё, для народа ничего"
"Блядь как же бомбит с этих татух на полноги. Пиздец просто, вот нахуя так делать.","Не нравятся эти татухи на пол ноги, зачем их делать"
от ты сука и провокатор!пасешся на чюжих хлебах дрянь?!,От ты и провокатор! Пасешся на чужих хлебах
"Он уже не стесняясь по кд срет, модератор его друг что ли?","Он уже устал флудить, наверное модератор его друг?"
заёб.с этим мостом уже полтора года мудохаются куда смотрит долбаная власть.,"Этот мост возводят уже полтора года, непонятна реакция властей"
е...анутое пьяное быдло надо жёстко ставить на место.,Пьяных людей надо жёстко ставить на свое место
"пошол ты на хуй, ещё раз я тебе говорю, не будь тупой скотиной, причём тут сталин!",Ещё раз тебе говорю ! Причём тут сталин ?
у неё геморрой на губах,У нее болячка на губах
охуеть класная до утраа бз сна боядь0,Очень классная. До утра без сна.
андрюха не заполней ленту всякой хуху (это твой хэйбол . а то удалю тебя из друзей 😅,"Андрей, я удалю тебя из друзей, если не перестанешь"
это не твои дети.!!! и тебя ебать не должно .--сучки продажные..,Это не твои дети и Тебе незачем знать
"виктор, говорить и взывать к этим проплаченным тварям бесполезно.. лучше не отвечать.. этим прокремлевским троллям плата идёт побуквенно...","Виктор,говорить и взывать к этим людям бесполезно,лучше не отвечать. Этим людям плата идёт побуквенно."
"мм, страна нищая? ну это вранье! эти люди гордятся страной, убогое ты ничтожество.","Мм, страна нищая? Ну это враньё. Эти люди гордятся страной"
